stationid,stationnumber,stationname,address1,address2,address3,address4,city,state,zip,lat,long_
328,437,Fargo VA HCS,VA Medical Center,2101 Elm Street,,,Fargo,ND,58102,46.9066,-96.7767
329,437GA,Grafton,Grafton VA Clinic ND State Development Ctr.,700 West 6th Street,,,Grafton,ND,58237,48.418,-97.4214
330,437GB,Bismarck ND,,2700 State Street,Suite 5,,Bismarck,ND,58503,46.8353,-100.773
353,437GC,Fergus Falls,C/O MN Veterans Home,1839 North Park Street,,,Fergus Falls,MN,56537,46.3019,-96.0764
352,437GD,Minot,VA Outpatient Clinic 5th MedGroup,10 Missile Avenue,,,Minot,ND,58705,48.4186,-101.301
1221,437GE,Bemidji,,705 5th Street,,,Bemidji,MN,56601,47.4725,-94.8888
1218,437GF,Williston,Williston Community Based Outpatient Clinic,205 Main Street,,,Williston,ND,58801,48.1477,-103.622
1299,437GI,Grand Forks,Grand Forks VA Outpatient Clinic,3221 32nd Ave South,,,Grand Forks,ND,58201,,
331,438,Sioux Falls VA HCS,Royal C. Johnson Veterans Memorial Hospital & ROC,2501 West 22nd Street,,,Sioux Falls,SD,57117,43.533,-96.757
837,438GA,Spirit Lake,Spirit Lake CBOC,1310 Lake Street,,,Spirit Lake,IA,51360,43.4236,-95.1089
825,438GC,Sioux City,Sioux City VA Clinic,1551 Indian Hills Dr.,Suite 206,,Sioux City,IA,51104,42.5327,-96.3905
1063,438GD,Aberdeen (Brown County),Aberdeen VA Clinic,2301 8th Ave NE,Suite 225,,Aberdeen,SD,57401,45.4814,-98.5065
1254,438GE,Wagner,,400 W Highway 46-50,,,Wagner,SD,57380,,
1255,438GF,Watertown,Watertown CBOC,917 29th Street SE,,,Watertown,SD,57201,,
521,442,Cheyenne,VAM&ROC,2360 E. Pershing Blvd.,,,Cheyenne,WY,82001,41.1459,-104.788
714,442GB,Sidney,Sidney VA CBOC,1116  10th Avenue,,,Sidney,NE,69162,41.1427,-102.976
523,442GC,Fort Collins,FORT COLLINS OUTPATIENT CLINIC,2509 RESEARCH BLVD,,,FORT COLLINS,CO,80526,40.5791,-105.057
522,442GD,Greeley,Greeley Outpatient Clinic,2001 70th AVENUE,Suite 200,,Greeley,CO,80634,40.4137,-104.712
1394,442HK,Rural and Community Healthcare,Cheyenne VA Medical Center,2360 East Pershing Boulevard,,,Cheyenne,WY,82001,,
560,459,Pacific Islands HCS (Honolulu),VA Pacific Islands Health Care System,459 Patterson Road,,,Honolulu,HI,96819,21.362,-157.889
561,459GA,Maui,VA Maui Outpatient Clinic,203 Ho'ohana Street,Suite 303,,Kahului,HI,96732,20.8863,-156.462
562,459GB,Hilo,VA Hilo Outpatient Clinic,1285 Waianuenue,Suite 211,,Hilo,HI,96720,19.717,-155.115
563,459GC,Kailua-Kona,VA Kona Outpatient Clinic,75-377 Hualalai Road,,,Kailua-Kona,HI,96740,19.6325,-155.979
564,459GD,Lihue,VA Kauai Outpatient Cllinic,4485 Pahe e Street,Suite 150,,Lihue,HI,96766,21.9788,-159.37
565,459GE,Guam,VA Guam Clinic,498 Chalan Palasyo,,,Agana Heights,GU,96910,13.4664,144.752
1222,459GF,American Samoa,VA American Samoa CBOC,Fiatele Teo Army Reserve Building,,,Pago Pago,AS,96799,0,0
97,460,Wilmington,VA Medical Center,1601 Kirkwood Highway,,,Wilmington,DE,19805,39.7387,-75.6071
98,460GA,Sussex County,Sussex County CBOC,15 Georgetown Plaza,,,Georgetown,DE,19947,38.5819,-75.2925
1196,460GC,Kent County,Kent County VA Outpatient Clinic,1198 S. Governors Avenue,Suites 201,,Dover,DE,19901,39.1763,-75.525
124,460GD,Cape May County,U.S. Coast Guard Trng. Ctr.,1 Munro Avenue,TRACEN Dispensary,,Cape May,NJ,08204,38.9673,-74.9248
100,460HE,Atlantic County,Atlantic County VA Clinic,1909 New Road,,,Northfield,NJ,08225,39.3371,-74.4847
101,460HG,Cumberland County,VA Health Clinic,1051 W Sherman Avenue,Bldg 3 Unit B,,Vineland,NJ,08360,39.4468,-75.0488
536,463,Alaska VA HCS,Alaska VA HCS & Regional Office,1201 North Muldoon Road,,,Anchorage,AK,99504,61.2098,-149.826
1026,463GA,Fairbanks,Fairbanks VA CBOC,4076 Neeley Road,Room 1J-101,,Fort Wainwright,AK,99703,64.8319,-147.653
1121,463GB,Kenai,Kenai VA CBOC,11312 Kenai Spur Highway,Suite 39,,Kenai,AK,99611,60.5546,-151.252
1351,463GC,Mat-Su,,865 N Seward Meridian Parkway,Suite 105,,Wasilla,AK,99654,,
476,501,New Mexico HCS,VA Medical Center,1501 San Pedro Drive SE,,,Albuquerque,NM,87108,35.0552,-106.578
483,501G2,Las Vegas,Las Vegas CBOC,624 University Ave.,,,Las Vegas,NM,87701,35.5452,-105.145
477,501GA,Artesia,Artesia CBOC,1700 West Main Street,,,Artesia,NM,88210,32.8423,-104.417
478,501GB,Farmington,Farmington CBOC,1001 West Broadway Suite C,,,Farmington,NM,87401,36.7281,-108.221
479,501GC,Silver City,Silver City CBOC,1302 32nd Street,,,Silver City,NM,88061,32.7957,-108.263
480,501GD,Gallup NM,Gallup CBOC,520 State Hwy 564,,,Gallup,NM,87301,35.4652,-108.751
482,501GE,Espanola,Espanola CBOC,105 S.  Coronado Avenue,Suite B,,Espanola,NM,87532,35.9939,-106.086
1096,501GH,Truth or Consequences,Truth or Consequences CBOC,1960 N Date Street,,,Truth or Consequences,NM,87901,33.1474,-107.247
1097,501GI,Alamogordo,,3199 N White Sands Blvd,Suite D10,,Alamogordo,NM,88310,32.9039,-105.943
1119,501GJ,Durango,,1970 E Third Ave.,Suite 102,,Durango,CO,81301,37.2505,-107.875
1117,501GK,Santa Fe,,2213 Brothers Road,Suite 600,,Sante Fe,NM,87505,35.6507,-105.952
1469,501GM,Rio Rancho,Northwest Metro CBOC,1760 Grande Blvd SE,,,Rio Rancho,NM,87124,,
481,501HB,Raton,Raton CBOC,1275 South 2nd Street,,,Raton,NM,87740,36.882,-104.44
400,502,Alexandria,VA Medical Center,2495 Shreveport Highway,,,Pineville,LA,71360,31.2553,-92.2381
401,502GA,Jennings,Jennings CBOC,1907 Johnson Street,,,Jennings,LA,70546,30.2383,-92.6615
803,502GB,Lafayette,Lafayette Parish CBOC,2100 Jefferson Street,Bldg B,,Lafayette,LA,70501,30.214,-92.0088
1354,502GF,Fort Polk,,3353 University Parkway,,,Leesville,LA,71446,,
1355,502GG,Natchitoches,,740 Keyser Ave,,,Natchitoches,LA,71457,,
102,503,James E. Van Zandt VA(Altoona),VA Medical Center,2907 Pleasant Valley Boulevard,,,Altoona,PA,16602,40.4886,-78.3984
103,503GA,Johnstown,James E Van Zandt VA Outpatient Clinic,1425 Scalp Avenue,Suite 29,,Johnstown,PA,15904,40.2714,-78.8577
104,503GB,DuBois (Clearfield),James E. Van Zandt VA Outpatient Clinic,190 West Park Ave,Suite 8 Park View Professional Complex,,DuBois,PA,15801,41.1215,-78.7626
641,503GC,State College (Centre County),James E Van Zandt VA Outpatient Clinic,3048 Enterprise Drive,Ferguson Square Bldg #1,,State College,PA,16801,40.7645,-77.8807
485,504,Amarillo HCS,VA Medical Center,6010 Amarillo Blvd. West,,,Amarillo,TX,79106,35.201,-101.908
486,504BY,Lubbock TX,Lubbock CBOC,6104 Avenue Q South Drive,,,Lubbock,TX,79412,33.5428,-101.85
487,504BZ,Clovis,Clovis CBOC,921 East Llano Estacado Blvd.,,,Clovis,NM,88101,34.4338,-103.194
488,504GA,Childress,Childress CBOC,1001 Highway 38 North,PO Box 1030,,Childress,TX,79201,34.4811,-100.214
282,506,Ann Arbor HCS,VA Medical Center,2215 Fuller Road,,,Ann Arbor,MI,48105,42.2876,-83.7157
649,506GA,Toledo,,1200 S. Detroit Avenue,,,Toledo,OH,43614,41.6123,-83.6225
853,506GB,Flint (Genessee Co.),,G2360 South Linden Rd,,,Flint,MI,48532,43.0157,-83.7417
720,506GC,Jackson,,4328 Page Avenue,,,Michigan Center,MI,49254,42.1983,-84.404
180,508,Atlanta,VA Medical Center,1670 Clairmont Road,,,Decatur,GA,30033,33.8021,-84.3103
181,508GA,East Point,,1513 Cleveland Ave.,Suite 300 Buggy Works Office Park,,East Point,GA,30344,33.6796,-84.4382
650,508GE,NE Georgia/Oakwood,,3931 Mundy Mill Road,Suite C,,Oakwood,GA,30566,34.2363,-83.8743
1045,508GF,Austell,,2041 Mesa Valley Way,Suite 185,,Austell,GA,30106,33.8561,-84.5325
1235,508GG,Stockbridge,,175 Medical Blvd.,,,Stockbridge,GA,30281,,
1046,508GH,Lawrenceville (Gwinnett County),,1970 Riverside Parkway,,,Lawrenceville,GA,30043,33.9699,-84.035
1357,508GI,Newnan,,39-A Oak Hill Court,,,Newnan,GA,30265,,
1397,508GJ,Blairsville,,1294 Highway 515 East,,,Blairsville,GA,30512,,
1471,508GK,Carrollton,,180 Martin Drive,,,Carrollton,GA,30117,,
182,509,Augusta,VA Medical Center,950 15th Street,,,Augusta,GA,30901,33.4726,-81.9898
183,509A0,Lenwood (Uptown),VA Medical Center,1 Freedom Way,,,Augusta,GA,30904,33.4683,-82.0254
1202,509GA,Athens,,9249 Hwy 29 S.,,,Athens,GA,30601,34.0278,-83.3177
1232,509GB,Aiken,Aiken CBOC,951 Millbrook Avenue,,,Aiken,SC,29803,,
147,512,Baltimore,VA Maryland HCS VAMC Baltimore MD Div.,10 North Greene Street,,,Baltimore,MD,21201,39.2894,-76.6239
149,512A5,Perry Point,VA Maryland Health Care System,"Circle Drive, Building 5H","VAMC Perry Point, MD Division (512A5)",,Perry Point,MD,21902,39.6085,-75.9596
150,512GA,Cambridge,VA Maryland HCS-Cambridge Comm. Outpatient Clinic,830 Chesapeake Drive,,,Cambridge,MD,21613,38.5517,-76.056
157,512GC,Glen Burnie,Glen Burnie Community Based Outpatient Clinic,808 Landmark Drive,Suite 128,,Glen Burnie,MD,21061,39.1316,-76.6386
1134,512GD,Loch Raven,Loch Raven VA Outpatient Clinic,3901 The Alameda,,,Baltimore,MD,21218,39.3363,-76.5975
1142,512GE,Pocomoke City,Pocomoke City CBOC,1701 Market Place,Unit 211,,Pocomoke City,MD,21851,38.0761,-75.5694
1167,512GF,Fort Howard,VA Maryland HCS-Fort Howard,9600 North Point Road,,,Fort Howard,MD,21052,39.206,-76.4449
284,515,Battle Creek,VA Medical Center,5500 Armstrong Rd.,,,Battle Creek,MI,49037,42.3188,-85.3028
285,515BY,Grand Rapids,,3019 Coit Street NE,,,Grand Rapids,MI,49505,43.0182,-85.6557
297,515GA,Muskegon,,5000 Hakes Drive,,,Muskegon,MI,49441,43.2342,-86.2408
628,515GB,Lansing,,2025 S Washington Avenue,,,Lansing,MI,48910,42.7108,-84.5532
728,515GC,Benton Harbor,,115 Main Street,,,Benton Harbor,MI,49022,42.1095,-86.4172
208,516,Bay Pines,VA Healthcare System,10000 Bay Pines Blvd.,,,Bay Pines,FL,33708,27.8138,-82.7772
209,516BZ,Ft. Myers,VA CLINIC,3033 Winkler Extension,,,FT MYERS,FL,33916,26.6048,-81.8499
210,516GA,Sarasota,VA CLINIC,5682 Bee Ridge Road,Suite 100,,Sarasota,FL,34233,27.2986,-82.4567
234,516GB,St Petersburg,St. Petersburg CBOC,840 Dr. MLK Jr. Street North,,,St. Petersburg,FL,33705,27.762,-82.6797
235,516GC,Palm Harbor,Palm Harbor CBOC,35209 US Hwy 19 North,,,Palm Harbor,FL,34684,28.0193,-82.7578
644,516GD,Bradenton,VA Clinic,5520 SR 64,,,Bradenton,FL,34208,27.5218,-82.5203
827,516GE,Port Charlotte/Charlotte County,,4161 Tamiami Trail,Unit 4,,Port Charlotte,FL,33952,26.9693,-82.0822
828,516GF,Naples/Collier County,VA Clinic,2685 Horseshoe Drive S.,Suite 101,,Naples,FL,34104,26.1619,-81.7742
1051,516GH,Sebring,Sebring CBOC - VA Primary Care Clinic,3760 US Highway 27 South,,,Sebring,FL,33870,27.4655,-81.4352
159,517,Beckley,VA Medical Center,200 Veterans Avenue,,,Beckley,WV,25801,37.7675,-81.191
1358,517GB,Greenbrier County,Greenbrier County CBOC,804 Industrial Park Road,,,Maxwelton,WV,24957,,
10,518,Bedford,VA Medical Center,200 Springs Road,,,Bedford,MA,01730,42.5029,-71.2727
35,518GA,Lynn/North Shore,VA North Shore Clinic,225 Boston Street,Suite 107,,Lynn,MA,01904,42.4703,-70.96
36,518GB,Haverhill,VA Haverhill Clinic,108 Merrimack Street,,,Haverhill,MA,01830,42.7742,-71.08
1091,518GC,Winchendon,Winchendon Council on Aging Senior Center,59 Murdock Avenue,,,Winchendon,MA,01475,42.6758,-72.046
1099,518GD,Lowell,Veterans Community Care Center,130 Marshall Road,,,Lowell,MA,01852,42.621,-71.3146
823,518GE,Gloucester,VA Gloucester Clinic,298 Washington Street,,,Gloucester,MA,01930,42.6265,-70.6804
492,519,West Texas HCS,VA Medical Center,300 Veterans Blvd.,,,Big Spring,TX,79720,32.2308,-101.471
493,519GA,Odessa,Odessa CBOC,4241 N. Tanglewood,,,Odessa,TX,79761,31.8456,-102.372
494,519GB,Hobbs,Hobbs CBOC Broadmoor Tower 4'th Floor,1601 N. Turner,,,Hobbs,NM,88240,32.715,-103.138
495,519GD,Ft Stockton,Pecos County Memorial Hospital,387 W IH 10,,,Ft. Stockton,TX,79735,30.8892,-102.879
496,519HC,Abilene TX,Abilene CBOC,3850 Ridgemont Drive,,,Abilene,TX,79606,32.4008,-99.7399
497,519HD,Stamford,Stamford CBOC,1601 Columbia Street,,,Stamford,TX,79553,32.9288,-99.7842
498,519HF,San Angelo,San Angelo CBOC,2018 Pulliam,,,San Angelo,TX,79605,31.4708,-100.405
402,520,Gulf Coast HCS,VA Medical Center,400 Veterans  Avenue,,,Biloxi,MS,39531,30.4083,-88.9471
404,520BZ,Joint Ambulatory Care Center,Pensacola Outpatient Clinic,790 Veterans Way,,,Pensacola,FL,32507,30.4903,-87.257
405,520GA,Mobile,Mobile Outpatient Clinic,1504 Springhill Avenue,,,Mobile,AL,36604,30.6925,-88.0722
406,520GB,Panama City,Naval Support Activity,101 Vernon Avenue,Bld 387,,Panama City Beach,FL,32407,30.1881,-85.7553
1192,520GC,Eglin AFB,,100 Veterans Way,,,Eglin AFB,FL,32542,0,0
184,521,Birmingham,VA Medical Center (521),700 South 19th Street,,,Birmingham,AL,35233,33.505,-86.8013
185,521GA,Huntsville AL,,301 Governor's Drive SW,,,Huntsville,AL,35801,34.7198,-86.5824
199,521GB,Decatur AL/Madison,,8075 Madison Blvd.,Suite 101,,Madison,AL,35758,34.6891,-86.7202
198,521GC,Florence AL (Shoals Area),Shoals Area Veterans Health Clinic,422 DD Cox Boulevard,,,Sheffield,AL,35660,34.7519,-87.6807
197,521GD,Rainbow City,Gadsden Primary Care Clinic,206 Rescia Ave.,,,Gadsden,AL,35906,33.9634,-86.0319
196,521GE,Anniston/Oxford AL,Anniston/Oxford Primary Care Clinic,96 Ali Way,Creekside South,,Oxford,AL,36203,33.6138,-85.8277
203,521GF,Jasper AL,Jasper Primary Care Clinic,3400 Highway 78 East,Suite #215,,Jasper,AL,35501,33.8413,-87.2367
1203,521GG,Bessemer,Medical West Office Complex,975 Ninth Avenue SW,Suite 400,,Bessemer,AL,35020,33.3789,-86.9867
1233,521GH,Childersburg,,151 9th Ave NW,,,Childersburg,AL,35044,,
1310,521GI,Guntersville,,100 Judy Smith Drive,,,Guntersville,AL,35976,,
11,523,VA Boston HCS- Boston Div.,VA Medical Center,150 South Huntington Avenue,,,Boston,MA,02130,42.3452,-71.0818
15,523A4,VA Boston HCS-West Roxbury Div.,VA Boston Healthcare System West Roxbury,1400 VFW Parkway,,,West Roxbury,MA,02132,42.2705,-71.172
14,523A5,Brockton VAMC,VA Boston Health Care System Brockton Division,940 Belmont Street,,,Brockton,MA,02301,42.0651,-71.0547
12,523BY,Lowell,VA Lowell Clinic,130 Marshall Road,,,Lowell,MA,01852,42.621,-71.3146
13,523BZ,Causeway Clinic (Boston),VA Causeway Clinic,251 Causeway Street,,,Boston,MA,02114,42.3664,-71.059
33,523GA,Framingham VA Primary Care Unit,VA Framingham Clinic,61 Lincoln Street,Suite 112,,Framingham,MA,01702,42.283,-71.4174
788,523GC,Quincy,Quincy Medical Center 2nd Floor,114 Whitwell St,,,Quincy,MA,02169,42.2504,-71.014
69,526,Bronx,Bronx VA Medical Center,130 West Kingsbridge Road,,,Bronx,NY,10468,40.8688,-73.9031
94,526GA,White Plains,White Plains VHA Clinic,23 South Broadway,,,White Plains,NY,10601,41.0323,-73.7624
95,526GB,Yonkers,Yonkers VHA Clinic,2 Park Avenue,,,Yonkers,NY,10701,40.9396,-73.8921
1087,526GD,Queens,Queens VHA Clinic,4103 Queens Blvd.,,,Sunnyside,NY,11104,40.744,-73.9231
47,528,Upstate New York HCS,VA Western New York HCS  VAMC Buffalo NY Div.,3495 Bailey Avenue,,,Buffalo,NY,14215,42.9513,-78.8135
48,528A4,Upstate New York HCS-Batavia,VA Western New York HCS VAMC Batavia NY Div,222 Richmond Avenue,,,Batavia,NY,14020,43.0105,-78.2002
53,528A5,Canandaigua,VA Medical Center,400 Fort Hill Avenue,,,Canandaigua,NY,14424,42.901,-77.2705
46,528A6,Bath,VA Medical Center,76 Veterans Avenue,,,Bath,NY,14810,42.3437,-77.3465
59,528A7,Syracuse,VA Medical Center,800 Irving Avenue,,,Syracuse,NY,13210,43.0393,-76.1382
41,528A8,Albany,VA Medical Center,113 Holland Avenue,,,Albany,NY,12208,42.6517,-73.7762
692,528G1,Malone,,3372 State Route 11 Main Street,,,Malone,NY,12953,44.8562,-74.2916
43,528G2,Elizabethtown,,7426 NYS Route 9N,,,Westport,NY,12993,44.2154,-73.5965
45,528G3,Bainbridge,,109 North Main Street,,,Bainbridge,NY,13733,42.3,-75.4713
1024,528G4,Elmira,Health Services Bldg Suite 2E,200 Madison Ave,,,Elmira,NY,14901,42.0909,-76.7989
,528G401,Elmira,,63 Third Street,Apt 104,,Mansfield,PA,16933,,
732,528G5,Auburn,Auburn Memorial Hospital,17 Lansing Street,,,Auburn,NY,13021,42.9408,-76.5649
1023,528G6,Fonda,Camp Mohawk Plaza,2623 State Highway 30A,,,Fonda,NY,12068,42.9614,-74.3865
657,528G7,Catskill,Greene Medical Arts Bldg,159 Jefferson Heights,Suite 102,,Catskill,NY,12414,42.2316,-73.8782
1025,528G8,Wellsville,,3458 Riverside Drive,Rt 19,,Wellsville,NY,14895,42.1238,-77.9491
,528G801,Wellsville,,24 Maple View Lane,Suite 2,,Coudersport,PA,16915,,
1022,528G9,Cortland,,1451 Dryden Road,,,Freeville,NY,13068,42.6048,-76.2022
51,528GB,Jamestown,,608 West 3rd Street,,,JAMESTOWN,NY,14701,42.105,-79.225
67,528GC,Dunkirk,,166 East 4th Street,,,DUNKIRK,NY,14048,42.4843,-79.335
52,528GD,Niagara Falls,,2201 Pine Avenue,,,NIAGARA FALLS,NY,14301,43.0935,-79.0506
68,528GE,Rochester,,465 WESTFALL ROAD,,,ROCHESTER,NY,14620,43.1148,-77.6091
,528GE01,Rochester,,919 Westfall Road,,,Rochester,NY,14618,,
,528GE02,Rochester,,1867 Mt Hope Ave,,,Rochester,NY,14620,,
731,528GK,Lockport,,5883 Snyder Dr.,,,Lockport,NY,14094,43.1394,-78.6967
60,528GL,Massena,,1 Hospital Drive,,,Massena,NY,13662,44.9356,-74.9074
62,528GM,Rome,VA OUTPATIENT CLINIC ROME,125 BROOKLEY ROAD,BUILDING 510,,ROME,NY,13441,43.2131,-75.4183
63,528GN,Binghamton,Gavin Building,425 Robinson Street,,,Binghamton,NY,13901,42.1071,-75.8949
61,528GO,Watertown,,19472 US Route 11,,,Watertown,NY,13601,43.9746,-75.6142
684,528GP,Oswego,,437 State Route 104E,,,Oswego,NY,13126,43.4996,-76.379
1021,528GQ,Lackawanna,OLV Family Care Center,227 Ridge Road,,,Lackawanna,NY,14218,42.827,-78.8431
,528GQ01,Lackawanna-Springville,,27 Franklin Street,,,Springville,NY,14141,,
733,528GR,Olean,,465 North Union Street,,,Olean,NY,14760,42.0845,-78.4301
42,528GT,Glens Falls,,84 Broad Street,,,Glens Falls,NY,12801,43.3066,-73.6526
44,528GV,Plattsburgh,,80 Sharron Avenue,Suite 300,,PLATTSBURGH,NY,12901,44.6963,-73.4526
65,528GW,Schenectady,Sheridan Plaza,1322 Gerling Street,Sheridan Plaza,,Schenectady,NY,12308,42.8235,-73.9099
64,528GX,Troy,,295 River Street,,,Troy,NY,12180,42.7326,-73.6903
66,528GY,Clifton Park,,1673 Route 9,,,Clifton Park,NY,12065,42.8601,-73.7651
620,528GZ,Kingston,,63 Hurley St.,,,Kingston,NY,12401,41.9369,-74.028
105,529,Butler,VA Medical Center,325 New Castle Road,,,Butler,PA,16001,40.875,-79.9447
107,529GA,Mercer County,Michael A. Marzano VA Outpatient Clinic,295 N. Kerrwood Drive,Suite 110,,Hermitage,PA,16148,41.2356,-80.4629
106,529GB,Lawrence County,Ridgewood Professional Center,1750 New Butler Road,,,New Castle,PA,16101,40.8683,-80.2762
655,529GC,Armstrong County,,313 Ford Street,Suite 2B,,Ford City,PA,16226,40.8152,-79.5668
143,529GD,Clarion County,,855 Route 58,Suite 1,,Foxburg,PA,16036,41.1394,-79.6817
1399,529GF,Cranberry Township,,1183 Freedom Road,Suite A101,,Cranberry Township,PA,16066,,
537,531,Boise,VA Medical Center,500 W. Fort Street,,,Boise,ID,83702,43.619,-116.195
847,531GE,Twin Falls,Twin Falls CBOC,260  2nd Avenue East,,,Twin Falls,ID,83301,42.555,-114.467
1209,531GG,Canyon County,Canyon County CBOC,4521Thomas Jefferson Street,,,Caldwell,ID,83605,43.6542,-116.698
186,534,Charleston,Ralph H. Johnson VA Medical Center,109 Bee Street,,,Charleston,SC,29401,32.7851,-79.9535
187,534BY,Savannah,,325 West Montgomery Crossroads,,,Savannah,GA,31406,32.0014,-81.1364
206,534GB,Myrtle Beach,,3381 Phillis Blvd.,,,Myrtle Beach,SC,29577,33.6797,-78.9579
1047,534GC,Beaufort,,1 Pinckney Blvd.,,,Beaufort,SC,29902,32.392,-80.685
1187,534GD,Goose Creek SC,,9237 University Blvd.,,,North Charleston,SC,29406,32.9776,-80.0722
1359,534GE,Hinesville,,740 East General Stewart Way,Suite 102,,Hinesville,GA,31313,,
298,537,Jesse Brown VAMC - Chicago HCS,Jesse Brown VA Medical Center,820 S Damen Street,,,Chicago,IL,60612,41.8711,-87.6765
300,537BY,Adams Benjamin Jr. (Crown Point IN),Adam Benjamin Jr Outpatient Clinic,9301 Madison Street,,,Crown Point,IN,46307,41.4487,-87.336
301,537GA,Chicago Heights,Chicago Heights CBOC Suite 207,30 East 15th Street,Suite 314,,Chicago Heights,IL,60411,41.5042,-87.6391
299,537GD,Chicago HCS (Lakeside),Lakeside CBOC,211 East Ontario Street,,,Chicago,IL,60611,41.8949,-87.6193
302,537HA,Woodlawn (Beverly),Auburn-Gresham CBOC,7731 S Halsted,,,Chicago,IL,60620,41.7212,-87.6738
265,538,Chillicothe,VA Medical Center,17273 State Route 104,,,Chillicothe,OH,45601,39.3717,-83.0068
266,538GA,Athens,VA Community Based Outpatient Clinic,510 West Union Street,,,Athens,OH,45701,39.3311,-82.1208
267,538GB,Portsmouth,VA Community Based Outpatient Clinic,840 Gallia Street,,,Portsmouth,OH,45662,38.7345,-82.9746
667,538GC,Marietta,VA Community Based Outpatient Clinic,418 Colgate Drive,,,Marietta,OH,45750,39.4238,-81.436
668,538GD,Lancaster,Colonnade Medical Building,1550 Sheridan Drive,Suite 100,,Lancaster,OH,43130,39.7386,-82.5695
1205,538GE,Cambridge,Cambridge CBOC,2146 Southgate Parkway,,,Cambridge,OH,43725,40.0048,-81.5761
268,539,Cincinnati,VA Medical Center,3200 Vine Street,,,Cincinnati,OH,45220,39.138,-84.5093
723,539GA,Bellevue,VA CBOC Northern KY Health Care Assoc.,103 Landmark Drive,3rd Floor,,Bellevue,KY,41073,39.1002,-84.4852
1059,539GB,Clermont County,Clermont County CBOC,4600 Beechwood Road,,,Cincinnati,OH,45244,39.0934,-84.2833
1060,539GC,Lawrenceburg (Dearborn County),,1600 Flossie Drive,,,Greendale,IN,47025,39.1279,-84.8409
1206,539GD,Florence,Florence CBOC,7711 Ewing Blvd,,,Florence,KY,41042,38.9933,-84.6404
1225,539GE,Hamilton,VA Healthcare Associates of Butler County,1750 South Erie Highway,,,Hamilton,OH,45011,,
